# 국립국어원의 외래어 표기법의 용례
# http://www.korean.go.kr/front/foreignSpell/foreignSpellList.do?mn_id=96
# https://www.data.go.kr/subMain.jsp?param=REFUQUAxNTAwMzkxMg==#/L2NvbW0vY29tbW9uU2VhcmNoL29yZ2luRGF0YVNldCRAXjAxMm0xJEBecHVibGljRGF0YVBrPTE1MDAzOTEyJEBeYnJtQ2Q9T0MwMDA4JEBeZXhjZWxDb3VudD0wJEBeZG93bmxvYWRDb3VudD05MyRAXm9yZ0luZGV4PURBVEEkQF5za2lwUm93cz0wJEBebWF4Um93cz0xMA==
gahnite	가나이트
Gratiae	그라티아이
Grabmann	그라프만
Gram	그람
Gramsci	그람시
Grande Dixence Dam	그랑드디상스댐
granolith	그래놀리스
granolithic	그래놀리식
grammer school	그래머스쿨
grasstex court	그래스텍스코트
graphoscope	그래포스코프
graph	그래프
graph journalism	그래프저널리즘
graphic	그래픽
graphic display	그래픽디스플레이
graphic designer	그래픽디자이너
graphic design	그래픽디자인
graphic art	그래픽아트
graphic equalizer	그래픽이퀄라이저
graphic communication	그래픽커뮤니케이션
graphic core	그래픽코어
graphic terminal	그래픽터미널
graphic panel	그래픽패널
grand	그랜드
Grand Rapids	그랜드래피즈
Grand Bahama	그랜드바하마
Grand Banks	그랜드뱅크스
grand style	그랜드스타일
grandstand	그랜드스탠드
grand slam	그랜드슬램
grand opera	그랜드오페라
Grand Canyon	그랜드캐니언
Grand Coulee Dam	그랜드쿨리댐
grand touring car	그랜드투어링카
grand position	그랜드포지션
grand piano	그랜드피아노
Granville-Barker	그랜빌바커
Grant	그랜트
gram	그램
gram-centimeter	그램센티미터
gram ion	그램이온
gram calorie	그램칼로리
gram ton	그램톤
gradation	그러데이션
Gregory	그레고리
Gregorius Nyssenus	그레고리우스
Graebe	그레베
Gresham	그레셤
Grey	그레이
gray	그레이
gray	그레이
grader	그레이더
grade	그레이드
grading	그레이딩
gray level	그레이레벨
grey market	그레이마켓
graver	그레이버
gravy	그레이비
gravy sauce	그레이비소스
gray scale	그레이스케일
Grahame	그레이엄
Graham	그레이엄
Graham Land	그레이엄랜드
gray zone	그레이존
gray-collar	그레이칼라
Greater Manchester	그레이터맨체스터 주
Great Dane	그레이트데인
Great Barrier Reef	그레이트배리어리프
Great Basin	그레이트베이슨
Great Britain	그레이트브리튼
Great Plains	그레이트플레인스
Great Pyrenees	그레이트피레네
grapefruit	그레이프프루트
grape hyacinth	그레이프히아신스
greyhound	그레이하운드
grain	그레인
grain whisky	그레인위스키
grain check	그레인체크
Greco-Roman	그레코로만
Grekov	그레코프
Grenville	그렌빌
Grenfell	그렌펠
Wilfred Thomaso	윌프레드 토머슨
Gros	그로
groggy	그로기
Gromaire	그로메르
Gromyko	그로미코
Grosse	그로세
groschen	그로셴
gross	그로스
Grossetest	그로스테스트
gross ton	그로스톤
Grotewohl	그로테볼
Grotefend	그로테펜트
Grote	그로트
Gropius	그로피우스
Walter	발터
Greuze	그뢰즈
GRU	그루
Grew	그루
groopie	그루피
Grundtvig	그룬트비
groomed oar	그룸드오어
group	그룹
group dynamics	그룹다이내믹스
group work	그룹워크
groupware	그룹웨어
group technology	그룹테크놀로지
Grumiaux	그뤼미오
Grieg	그리그
Grignard	그리냐르
Greenock	그리녹
Greenwich	그리니치
Greenwich Village	그리니치빌리지
grid	그리드
Greed	그리드
grid bias	그리드바이어스
grid planning	그리드플래닝
Grimmelshausen	그리멜스하우젠
Griboedov	그리보예도프
griseofulvin	그리세오풀빈
Gris	그리스
grease	그리스
grease cup	그리스컵
grease table	그리스테이블
grease pump	그리스펌프
grizzly	그리즐리
Grisi	그리지
griffithite	그리피사이트
Griffis	그리피스
Griffith	그리피스
Gryphius	그리피우스
griffin	그리핀
Green	그린
Grin	그린
green	그린
Greene	그린
Green Round	그린라운드
green laser	그린레이저
Green Beret	그린베레
greenbelt	그린벨트
green border	그린보더
Greenville	그린빌
green oil	그린오일
Greensboro	그린즈버러
green card	그린카드
green tuff	그린터프
green flash	그린플래시
green fee	그린피
Green Peace	그린피스
grill	그릴
Greely	그릴리
Adolphus Washington	아돌푸스 워싱턴
Grillparzer	그릴파르처
Grimm	그림
grip	그립
grit	그릿
gladiolus	글라디올러스
glass	글라스
glass lining	글라스라이닝
glass block	글라스블록
glass fiber pole	글라스파이버폴
glass harmonica	글라스하모니카
glassine paper	글라신페이퍼
glider	글라이더
glider wax	글라이더왁스
glide	글라이드
glide path	글라이드패스
gliding	글라이딩
Gleim	글라임
Gladkov	글랏코프
Gladstone	글래드스턴
gladstone	글래드스턴
Glasgow	글래스고
Glaspell	글래스펠
glam fashion	글램패션
glove	글러브
glare	글레어
glaze	글레이즈
Gleizes	글레이즈
glazing	글레이징
glow	글로
glow lamp	글로램프
glory	글로리
Gloria	글로리아
gloria	글로리아
gloriosa	글로리오사
globalism	글로벌리즘
globulin	글로불린
globe	글로브
globigerina	글로비게리나
globin	글로빈
glow starter	글로스타터
Gloucester	글로스터
glossy	글로시
glow plug	글로플러그
gloxinia	글록시니아
glucitol	글루시톨
gluon	글루온
glucagon	글루카곤
glucosamine	글루코사민
glucoside	글루코시드
glucose	글루코오스
glucogenesis	글루코제네시스
glucocorticoid	글루코코르티코이드
glucolipid	글루콜리피드
Gluck	글루크
glutamine	글루타민
glutathione	글루타티온
glutenin	글루테닌
glutethimide	글루테티미드
gluten	글루텐
glutelin	글루텔린
glee	글리
glibenclamide	글리벤클라마이드
glycerol	글리세롤
glyceraldehyde	글리세르알데히드
glyceride	글리세리드
glycerin	글리세린
glycerin diacetate	글리세린디아세테이트
glycyrrhizin	글리시리진
glycine	글리신
gliotoxin	글리오톡신
glyoxal	글리옥살
glyoxaline	글리옥살린
glyoxysome	글리옥시솜
glycogen	글리코겐
glycoside	글리코시드
glycol	글리콜
glycol ether	글리콜에테르
gliclazide	글리클라자이드
glee club	글리클럽
Glinka	글린카
ghee	기
giga	기가
gigabyte	기가바이트
Gigantopteris	기간토프테리스
Gigantopithecus	기간토피테쿠스
gig	기그
Guinness Book	기네스북
gynogamone	기노가몬
gynura	기누라
guinea	기니
guinea pig	기니피그
Gideon	기드온
Giddings	기딩스
Gierke	기르케
Ghirlandajo	기를란다요
Gibbon	기번
gibbon	기번
Ghiberti	기베르티
Ghiberti	기베르티
Ghibelline	기벨린
give way	기브웨이
Guiscard	기스카르
Gissing	기싱
gear	기어
gear oil	기어오일
gear chamfering machine	기어챔퍼링머신
gear cutter	기어커터
gear coupling	기어커플링
gear pump	기어펌프
Gjellerup	기엘레루프
Guillaumin	기요맹
Guillaume	기욤
Giesebrecht	기제브레히트
Gieseking	기제킹
Guizot	기조
guitar	기타
guitarist	기타리스트
gittern	기턴
Guitry	기트리
Gill	길
Gilgamesh	길가메시
Gilgal	길갈
Gielgud	길구드
guilder	길더
guild	길드
gilding metal	길딩메탈
Gilyak	길랴크
Guilmore	길모어
gilbert	길버트
Gilbert	길버트
Gilbreth	길브레스
gingham	깅엄
Naguib	나기브
NANA	나나
Nana	나나
nano	나노
nanometer	나노미터
nanosecond	나노세컨드
nanoamp	나노앰프
Nathanael	나다나엘
Nadar	나다르
Nathan	나단
Naram-Sin	나람신
Narses	나르세스
Narcisse	나르시스
narcissist	나르시시스트
narcissism	나르시시즘
narcotine	나르코틴
narcolepsy	나르콜렙시
Narcissos	나르키소스
narthex	나르텍스
Nabatea	나바테아
nabam	나밤
NASA	나사
NASARR	나사르
Nasser	나세르
Gamal Abdel	가말 압델
Nasserism	나세리즘
Naumann	나우만
Naidu	나이두
nydrazid	나이드라지드
Naiman	나이만
naive	나이브
Neisser	나이서
Niagara Falls	나이아가라폴스
Nike	나이키
Knight	나이트
night	나이트
nightgown	나이트가운
night game	나이트게임
nightwear	나이트웨어
nightcap	나이트캡
nightclub	나이트클럽
nightingale	나이팅게일
knife	나이프
knife switch	나이프스위치
nine	나인
nineteenth hole	나인틴스홀
ninepins	나인핀스
Nilotic Negro	나일로틱니그로
nylon	나일론
NADGE	나지
Nazism	나치즘
Natta	나타
NATO	나토
Natorp	나토르프
natrolite	나트롤라이트
Nattier	나티에
naproxen	나프록센
naphtha	나프타
naphthalene	나프탈렌
naphthene	나프텐
naphthol	나프톨
naphthiomate	나프티오메이트
naphthylamine	나프틸아민
Nachtigal	나흐티갈
Nansen	난센
nonsense	난센스
Nansen passport	난센패스포트
nalorphine	날로르핀
naloxone	날록손
nalbuphine	날부핀
naltrexone	날트렉손
not out	낫아웃
narration	내레이션
narrator	내레이터
narrowcasting	내로캐스팅
national	내셔널
National Gallery	내셔널갤러리
National League	내셔널리그
nationalism	내셔널리즘
national minimum	내셔널미니멈
national brand	내셔널브랜드
National Academy of Science	내셔널아카데미오브사이언스
national atlas	내셔널애틀러스
national trust	내셔널트러스트
Nashville-Davidson	내슈빌데이비드슨
Nash	내시
natural	내추럴
natural	내추럴
naturalism	내추럴리즘
NAND	낸드
knapsack	냅색
napkin	냅킨
nugget	너깃
nursery school	너서리스쿨
nurse	너스
knuckle ball	너클볼
knucklepart	너클파트
knucklefour	너클포
nut	너트
nut	너트
null	널
number	넘버
numbering	넘버링
numbering machine	넘버링머신
number one	넘버원
Ney	네
negative	네거티브
negative campaign	네거티브 캠페인
negative list	네거티브리스트
negative system	네거티브시스템
negative film	네거티브필름
Negev	네게브
Netherlands	네덜란드
Nedim	네딤
Nereus	네레우스
Nero	네로
Nehru	네루
Neruda	네루다
Nergal	네르갈
Nerva	네르바
Nerval	네르발
Nervo	네르보
Nerthus	네르투스
Nernst	네른스트
nerine	네리네
Nematoda	네마토다
Nemesis	네메시스
Neverov	네베로프
Nebuchadnezzar	네부카드네자르
nebulizer	네뷸라이저
nebula	네뷸러
nesodon	네소돈
Nesmeyanov	네스메야노프
Nestor	네스토르
Nestorius	네스토리우스
Nestroy	네스트로이
Neander	네안더
neo	네오
neo-Gothic	네오고딕
Neo-Nazism	네오나치즘
neo-dadaism	네오다다이즘
Neo-Darwinism	네오다위니즘
neodymium	네오디뮴
Neo-Lamarckism	네오라마르키즘
neo-realism	네오리얼리즘
Neo-Marxism	네오마르크시즘
neomycin	네오마이신
neo-muscat	네오머스캣
neo-Mendelism	네오멘델리즘
neoceratodus	네오세라토더스
neoschwagerina	네오슈와게리나
neostigmine	네오스티그민
Neo-Impressionism	네오임프레셔니즘
neocalamites	네오칼라미테스
Neo-Thomism	네오토미즘
neo-fascism	네오파시즘
neopentane	네오펜탄
neoprene	네오프렌
Neo-Freudism	네오프로이디즘
Neoptolemos	네오프톨레모스
Neo-platonism	네오플라토니즘
neopilina	네오필리나
neon	네온
neon lamp	네온램프
neon sign	네온사인
neon tetra	네온테트라
navel orange	네이블오렌지
navy double punch	네이비 더블 펀치
navy blue	네이비블루
Nathan	네이선
Nasmyth	네이즈미스
native	네이티브
native speaker	네이티브 스피커
Napier	네이피어
nail	네일
nail lacquer	네일래커
nail enamel	네일에나멜
name	네임
Nezval	네즈발
neckerchief	네커치프
Necker	네케르
Necho	네코
Nekrasov	네크라소프
neckline	네크라인
necrophobia	네크로포비아
net	네트
net game	네트게임
net man	네트맨
netball	네트볼
network	네트워크
network game	네트워크 게임
Network Community	네트워크커뮤니티
network computer	네트워크컴퓨터
networking	네트워킹
net touch	네트터치
net play	네트플레이
netizen	네티즌
netiquette	네티켓
Nepal	네팔
neper	네퍼
Nefertum	네페르툼
nepenthes	네펜테스
Nepos	네포스
nepotism	네포티즘
NEP	네프
nephron	네프론
Nephthys	네프티스
neck	넥
next	넥스트
nectar	넥타
necktie	넥타이
nekton	넥톤
Nenni	넨니
Neleus	넬레우스
nelson	넬슨
nep	넵
Neptunus	넵투누스
neptunium	넵투늄
Neptune	넵튠
no game	노게임
no goal	노골
nonane	노난
nonet	노넷
Nono	노노
no down	노다운
norther	노더
nodule	노듈
node	노드
Nodier	노디에
Nora	노라
NORAD	노라드
Noraism	노라이즘
Nornen	노르넨
Nordide	노르디데
Norwid	노르비트
noradrenalin	노르아드레날린
norepinephrine	노르에피네프린
Norris	노리스
Norris Dam	노리스댐
Norrish	노리시
normalization	노멀라이제이션
normal butane	노멀부탄
normal tone	노멀톤
nomograph	노모그래프
nomogram	노모그램
nomos	노모스
nominal damage	노미널대미지
nominate	노미네이트
nova	노바
Nova Scotia	노바스코샤
Novalis	노발리스
Noverre	노베르
Nobel	노벨
Novela	노벨라
nobelium	노벨륨
novelty	노벨티
novembichin	노벰비킨
novobiocin	노보비오신
novolak	노볼락
Novum Organum	노붐 오르가눔
knob	노브
Novial	노비알
Novikov	노비코프
Nobile	노빌레
nobilitas	노빌리타스
no side	노사이드
Nossack	노사크
North Dakota	노스다코타
noscapine	노스카핀
North Carolina	노스캐롤라이나
Noske	노스케
Northcliffe	노스클리프
nostalgia	노스탤지어
no step	노스텝
Nostradamus	노스트라다무스
no out	노아웃
NOR	노어
noegenesis	노에제네시스
Noel-Baker	노엘베이커
know where	노웨어
noy	노이
Neumann	노이만
noise	노이즈
noise reduction	노이즈리덕션
noil	노일
noil cloth	노일클로스
nose veil	노즈베일
nose clip	노즈클립
nozzle	노즐
notch	노치
no-count	노카운트
knocker	노커
no control	노컨트롤
no cut	노컷
no comment	노코멘트
knock	노크
knocking	노킹
knocking on	노킹온
NOTAM	노탐
no touch	노터치
notornis	노토르니스
nothosaurus	노토사우루스
note	노트
knot	노트
Notre Dame	노트르담
Notre Dame de Reims	노트르담 드랭스
notebook	노트북
notebook computer	노트북컴퓨터
Norfolk	노퍽
Norfolk jacket	노퍽재킷
nauplius	노플리우스
no pitch	노피치
knowhow	노하우
no-hit flinging	노히트플링잉
knockdown	녹다운
Knox	녹스
Knoxville	녹스빌
knockout	녹아웃
knockout blow	녹아웃블로
knock-on	녹온
nocturne	녹턴
noctovision	녹토비전
Nonnos	논노스
nonrun stocking	논런스타킹
nonstop	논스톱
nonstop computer	논스톱컴퓨터
nonactin	논악틴
non in	논인
nonimpact printer	논임팩트프린터
non cling	논클링
nontitle	논타이틀
nontitle match	논타이틀매치
nonfiction	논픽션
Nolde	놀데
Emil	에밀
nolina	놀리나
Nome	놈
Neuchâtel	뇌샤텔
Noether	뇌터
Njord	뇨르드
gnu	누
nunatak	누나탁
nude	누드
nude look	누드룩
nude mouse	누드마우스
nude model	누드모델
nude show	누드쇼
nude stocking	누드스타킹
noodle	누들
Nurmi	누르미
noumenon	누메논
Numidia	누미디아
Nut	누트
new criticism	뉴 크리티시즘
New Fund	뉴 펀드
Newgate	뉴게이트
new glass	뉴글라스
New Guinea	뉴기니
New Naturalism	뉴내추럴리즘
New Delhi	뉴델리
New Deal	뉴딜
neuraminidase	뉴라미니다아제
Newlands	뉴랜즈
John Alexander Reina	존 알렉산더 레이나
neuron	뉴런
New London	뉴런던
new rating	뉴레이팅
neuro computer	뉴로컴퓨터
new rock	뉴록
new look	뉴룩
New Realism	뉴리얼리즘
new magnetics	뉴매그네틱스
pneumatic caisson	뉴매틱케이슨
pneumatic hammer	뉴매틱해머
Newman	뉴먼
new mode	뉴모드
new media	뉴미디어
new millennium	뉴밀레니엄
New Bedford	뉴베드퍼드
Newbolt	뉴볼트
New Britain	뉴브리튼
new business	뉴비즈니스
new science	뉴사이언스
new ceramics	뉴세라믹스
new soul	뉴솔
news	뉴스
news reel	뉴스릴
news value	뉴스밸류
news sense	뉴스센스
news source	뉴스소스
news show	뉴스쇼
news story	뉴스스토리
news analyst	뉴스애널리스트
news camera	뉴스카메라
news caster	뉴스캐스터
news ticker	뉴스티커
new cinema	뉴시네마
New Ireland	뉴아일랜드
New Atlantis	뉴아틀란티스
Newark	뉴어크
new age	뉴에이지
New Orleans	뉴올리언스
New Orleans jazz	뉴올리언스재즈
New York	뉴욕
new wave	뉴웨이브
New England	뉴잉글랜드
new jazz	뉴재즈
new journalism	뉴저널리즘
New Georgia	뉴조지아
New Zealand	뉴질랜드
New Caledonia	뉴칼레도니아
New Cascade Tunnel	뉴캐스케이드터널
Newcastle	뉴캐슬
New Castle	뉴캐슬
Newcastle upon Tyne	뉴캐슬어폰타인
Newcomen	뉴커먼
Newcomb	뉴컴
nuclease	뉴클레아제
nucleonics	뉴클레오닉스
nucleoside	뉴클레오시드
nucleocapsid	뉴클레오캡시드
nucleotide	뉴클레오티드
nucleohistone	뉴클레오히스톤
nuclein	뉴클레인
Newton	뉴턴
newton	뉴턴
neutral	뉴트럴
neutral zone	뉴트럴존
neutral corner	뉴트럴코너
neutron	뉴트론
neutrino	뉴트리노
nutria	뉴트리아
new fashion	뉴패션
Newfoundland	뉴펀들랜드
Newfoundland Bank	뉴펀들랜드 뱅크
new face	뉴페이스
new painting	뉴페인팅
Newport	뉴포트
Newport Jazz Festival	뉴포트재즈페스티벌
New Frontier	뉴프런티어
New Providence	뉴프로비던스
New Plymouth	뉴플리머스
New Philippines	뉴필리핀
new heavy	뉴헤비
neume	늄
Nehemiah	느헤미야
Negro	니그로
Negro minstrels	니그로민스트럴
nigrosine	니그로신
Negroid	니그로이드
Negrillo	니그릴로
Nineveh	니네베
Ninib	니니브
kneader	니더
Needham	니덤
John Turberville	존 터버빌
needle	니들
NIRA	니라
niridazole	니리다졸
Martin	마르틴
Nimitz	니미츠
Niebuhr	니부어
nystatin	니스타틴
nialamide	니알라마이드
Niya	니야
near miss	니어미스
near ball	니어볼
near fall	니어폴
NIEO	니에오
Niobe	니오베
Nizan	니장
NIES	니즈
Nietzsche	니체
Nietzscheism	니체이즘
niche	니치
knickerbockers	니커보커스
knickers	니커스
Nicholson	니컬슨
Ben	벤
Nicolson	니컬슨
nikethamide	니케서마이드
nickel	니켈
nickel silver	니켈실버
nickel carbonyl	니켈카르보닐
Nicot	니코
nicotine	니코틴
nicotinamide adenine dinucleotide	니코틴아미드아데닌디뉴클레오티드
Nikon	니콘
Nicolle	니콜
Nicol	니콜
Nicolaus	니콜라우스
Nicolaus Cusanus	니콜라우스 쿠사누스
Nikolai	니콜라이
niccolite	니콜라이트
Nicol prism	니콜프리즘
nichrome	니크롬
nichrome heater	니크롬히터
Nichlisch	니클리슈
nit	니트
knit	니트
nitramine	니트라민
nitro	니트로
nitrogen mustard	니트로겐머스터드
nitroguanidine	니트로구아니딘
nitroglycerin	니트로글리세린
nitroglycol	니트로글리콜
nitronaphthalene	니트로나프탈렌
nitromethane	니트로메탄
nitromine	니트로민
nitrobenzene	니트로벤젠
nitrobenzol	니트로벤졸
nitrocellulose	니트로셀룰로오스
nitroso group	니트로소그룹
nitrosoamine	니트로소아민
nitrosyl	니트로실
nitrotoluene	니트로톨루엔
nitroparaffin	니트로파라핀
nitrophenol	니트로페놀
nitrofurazone	니트로푸라존
nitron	니트론
nitrile	니트릴
knit wear	니트웨어
knit pullover	니트풀오버
nitinol	니티놀
knitting	니팅
nipper	니퍼
Nippur	니푸르
Niflheim	니플헤임
kneehold	니홀드
nihilist	니힐리스트
nihilism	니힐리즘
nickname	닉네임
NICS	닉스
Nixon	닉슨
Nixon Doctrine	닉슨독트린
ninhydrin	닌히드린
Neill	닐
nilgai	닐가이
Nielsen	닐센
nilssonia	닐소니아
Neilson	닐슨
Nimrud	님루드
nymphomania	님포마니아
nymph	님프
Dagan	다간
Daguerre	다게르
Dagobert	다고베르트
Danae	다나에
Danaos	다나오스
Dannemann	다네만
Daniel	다니엘
Daniell	다니엘
Daniel-Rops	다니엘롭스
dadaist	다다이스트
dadaism	다다이즘
Dhahran	다란
Dharmaraksa	다르마락사
Dharmakirti	다르마키르티
Darboux	다르부
Dar es Salaam	다르에스살람
Darchan	다르한
Darius	다리우스
damaru	다마루
dammar	다마르
damask	다마스크
Damocles	다모클레스
