# 상용외래어 사전
# http://blog.daum.net/huijingzhang2005/7227853
kanaan	가나안
WC	더블유 씨
dusky	더스키
dumper	덤퍼
dump truck	덤프 트럭
dumping	덤핑
dunk shoot	덩크슛
dead	데드
deadeye	데드아이
demonstration	데모
debut	데뷔
dessin	데생
desk	데스크
decibel	데시벨
day	데이
data	데이터
date	데이트
daily	데일리
department store	데파트먼트 스토어
dental	덴탈
depth interview	데프스인터뷰
dog	도그
doughnut	도넛
transmitter	도란스
door	도어
docking	도킹
dock	독
doctrine	독트린
dolphin	돌핀
dome	돔
duo	듀오
drama	드라마
dry	드라이
drycleaning	드라이 크리닝
drybattery	드라이배터리
driver	드라이버
drive	드라이브
dry ice	드라이아이스
dryer	드라이어
dragon	드래곤
drag	드래그
dressing	드레싱
dressing room	드레싱 룸
drain cock	드레인콕
draping	드레핑
drum	드럼
dress	드레스
dressingroom	드레싱룸
drawing	드로잉
dawing paper	드로잉 페이퍼
drop hammer	드롭해머
drill	드릴
drink	드링크
dream	드림
deluxe	디럭스
director	디렉터
discount sale	디스카운트세일
disk	디스크
design	디자인
Disneyland	디즈니랜드
digital	디지털
dealer	딜러
dance	댄스
D-RAM	램
dialogue	다이얼로그
designer	디자이너
dessert	디저트
label	라벨
rabbi	라비
last	라스트
round	라운드
right	라이트
rival	라이벌
rice	라이스
rice box	라이스박스
light	라이트
life member	라이프 멤버
line	라인
life	라이프
lilac	라일락
lingerie	란제리
wrap	랩
rap music	랩 뮤직
ranking	랭킹
running shirt	러닝셔츠
love	러브
love story	러브 스토리
rush	러시
running	런닝
red	레드
red card	레드카드
level	레벨
restaurant	레스토랑
rest	레스트
rest room	레스트 룸
lesson	레슨
receiver	레시버
readymixed concrete	레미콘
radar	레이다
lady	레이디
race	레이스
razor	레이저
rail	레일
record	레코드
range	렌지
resident	레지던트
letter	레테르
lens	렌즈
wrench	렌치
low	로
law	로
logo	로고
romance	로맨스
romantic	로맨틱
robot	로봇
lobby	로비
lotion	로션
roast	로스
roaster	로스터
royal	로열
royalty	로열티
rose	로즈
rotary	로타리
rope	로프
lock	록
rock music	록 뮤직
long	롱
roller skate	롤러 스테이트
rolling	롤링
rouge	루즈
roots	루츠
route	루트
route-map	루트맵
look	룩
rule	룰
room	룸
rumba	룸바
room charge	룸 차지
rheumatism	류마티즘
Renaissance	르네상스
reportage	르포
league	리그
leader	리더
leadership	리더쉽
reamer punch	리머펀치
retouch	리터치
lead	리드
rhythm	리듬
remote control	리모트 컨트롤
limousine	리무진
living	리빙
living room	리빙룸
research	리서치
list	리스트
real	리얼
realist	리얼리스트
resort	리조트
rich	리치
recall	리콜
request	리퀘스트
return	리턴
report	리포트
reporter	리포터
repeat	리피트
lift	리프트
rehearsal	리허설
refill	리필
rinse	린스
relay	릴레이
lily	릴리
lip	립
lipstick	립스틱
ring	링
rink	링크
link	링크
link fuse	링크휴즈
ringer	링겔
magarine	마가린
magnet	마그넷
madam	마담
madonna	마돈나
master	마스터
mannequin	마네킹
matroos	마도로스
marble	마블
mount	마운트
mile	마일
Massage	마사지
massaga	마사지
mast	마스트
mascara	마스카라
Maya	마야
mayonnaise	마요네즈
mouse	마우스
micro	마이크로
microwave	마이크로 웨이브
mind	마인드
mile	마일
mileage service	마일리지서비스
march	마치
macaroni	마카로니
marketing	마케팅
marker	마켓
mark	마크
mart	마트
Mafia	마피아
mandarin	만다린
malaria	말라리아
mambo	맘보
manteau	망토
magazine	매거진
manner	매너
manual	매뉴얼
manager	매니저
manicure	매니큐어
mass communication	매스컴
mass fashion	매스패션
magic	매직
match	매치
mat	매트
mansion	맨션
manhole	맨홀
money	머니
mud	머드
machine	머신
muffle	머플
muffler	머플러
muffin	머핀
multi	멀티
multimedia	멀티미디어
multibox	멀티박스
multi-tasking	테스킹
multichannel	멀티채널
monkey wrench	멍키렌치
megaton	메가톤
menu	메뉴
medal	메달
medalist	메달리스트
medley	메들리
melon	메론
medicine	메디신
memo	메모
memory	메모리
message	메시지
meshiha	메시아
messenger	메신저
made in korea	메이드인 코리아
maker	메이커
make up	메이크업
main	메인
main stadium	메인 스타디움
main stand	메인 스탠드
main point	메인 포인트
main title	메인 타이틀
mail	메일
mail box	메일북
mecca	메카
Methan	메탄
metal	메탈
metro	메트로
melanin	멜라닌
melamine resins	멜라민수지
melody	멜로디
member	멤버
membership	멤보쉽
mortgage	모기지
Mona lisa	모나리자
monami	모나미
mono	모노
monorail	모노레일
monitor	모니터
morning	모닝
modern	모던
model	모델
model case	모델 케이스
model house	모델하우스
MODEM	모뎀
mode	모드
moral	모랄
moral hazord	모럴 해저드
Morphine	모르핀
moment	모멘트
mobile house	모바일하우스
Moslem	모슬렘
moisture	모이스처
Mosaik	모자이크
motor	모터
motor drill	모터드릴
motel	모텔
motor show	모토쇼
motive	모티브
monster	몬스터
montage	몽타주
mall	몰
mood	무드
moody	무디
Moodis	무디스
movie	무비
moon	문
museum	뮤지엄
musical	뮤지컬
musical comedy	뮤지컬코메디
music	뮤직
MIG	미그
mineral	미네랄
mineral water	미네랄 워터
mini	미니
middle	미들
mirror	미러
missa	미사
missile	미사일
mission	미션
media	미디어
medium	미디엄
miss	미스
miss korea	미스 코리아
mister	미스터
mirra	미이라
miserable	미제라블
microhm	미크롬
Micky mouse	미키마우스
meeting	미팅
mixer	믹서
mix	믹스
mince	민스
meal	밀
Milano	밀라노
million	밀리온
miling machine	밀링 머신
milk	밀크
milk shake	밀크 세이크
mink	밍크
bar	바
bargain sale	바겐세일
vanilla	바닐라
body	바디
barricade	바리케이트
baritone	바리톤
burberry	바바리
barbercue	바베큐
vaseline	바셀린
basket	바스켓
basket ball	바스켓볼
buyer	바이어
bio	바이오
bionics	바이오닉스
virus	바이러스
byte	바이트
binder	바인더
bazaar	바자
barge	바지
vacance	바캉스
bartender	바텐더
baton	바통
vatican	바티칸
bacteria	박테리아
box	박스
ballade	발라드
ballerina	발레리나
Valentine Day	발렌타인 데이
balcony	발코니
banner	배너
bad	배드
barrel	배럴
bass	배스
badge	배지
battery	배터리
back	백
back mirror	백미러
vaccine	백신
band	밴드
balance	밸런스
valve	벨브
banker	뱅커
bank	뱅크
birdie	버디
birthday	버스데이
butter	버터
button	버튼
bumper	범퍼
veneer	베니어
best	베스트
best member	베스트 맴버
best seller	베스트셀러
bearing	베어링
baby	베이비
bass	베이스
baseball	베이스볼
base camp	베이스캠프
beige	베이지
bakery	베이커리
bacon	베이컨
baking powder	베이킹 파우더
veil	베일
veteran	베테랑
bench	벤치
vending machine	벤딩머신
venture	벤처
Benz	벤츠
bell	벨
belt	벨트
bel canto	벨칸토
vogue	보그
bonus	보너스
board	보드
body	보디
boring machine	보링머신
boss	보스
boy	보이
bowl	보울
boy scouts	보이 스카우트
boiler	보일러
Boeing	보잉
vocal	보컬
boat	보트
boxer	복서
boxing	복싱
bond	본드
volume	볼륨
bowling	볼링
bolster	볼스터
bolt	볼트
voltmeter	볼트미터
bravo	부라보
bourgeois	부르조아
boomerang	부메랑
booth	부스
boots	부츠
butane	부탄
bouquet	부케
book	북
bulldozer	불도저
boom	붐
buffet	부페
beauty	뷰티
brassiere	브라운
brown	브라자
brand	브랜드
brandy	브랜디
brush	브러시
brake	브레이크
brother	브라더
breaker	브레커
brooch	브로치
blottey	브로티
bridge	브리지
briefing	브리핑
blouse	블라우스
black	블랙
black list	블랙 리스트
black market	블랙 마켓
black coffee	블랙 커피
blanket	블랭켓
blank	블랭크
block	블록
blue	블루
blue berry	블루베리
blue jeans	블루진
blue-collar	블루칼라
blues	블루스
bhikshu	비구
bhikshuni	비구니
Venus	비너스
vinyl	비닐
vinyl house	비닐 하우스
bidet	비데
video tape	비디오 테이프
beer	비루
beaver	비버
BBC	비비시
biscuit	비스켓
beer stand	비어스탠드
biennale	비엔날레
viola	비올라
visa	비자
vision	비전
businessman	비즈니스맨
visual show	비주얼쇼
business	비즈니스
business consultant	비즈니스 컨설턴트
business economist	비즈니스 이코노미스트
beach	비치
beach parasol	비치 파라솔
beaker	비커
vitamine	비타민
Beetles	비틀즈
big deal	빅딜
big bang	빅뱅
big brother	빅 브라더
big event	빅이벤트
victory	빅토리
buiding	빌딩
villa	빌라
village	빌리지
bingo	빙고
salada	사라다
sash	사시
south	사우스
sauna	사우나
side	사이드
sound box	사운드 박스
side work	사이드 웍
cyber	사이버
science	사이언스
size	사이즈
psycho	사이코
cycle	사이클
cycling track	사이클링트랙
site	사이트
sign	사인
safari	사파리
sapphire	사파이어
saponin	사포닌
satan	사탄
socks	삭스
sansevieria	산세비에리아
Santa	산타
Santa Claus	산타클로스
salon	살롱
samadhi	삼매
samba	삼바
sand mixer	샌드믹서
sand bag	샌드백
sandwich	샌드위치
salad	샐러드
salariman	샐러리맨
sample	샘플
chanel	샤넬
Sharon	샤론
shower	샤워
sharp	샤프
shaft	샤프트
chandelier	샨데리아
champagne	샴페인
shampoo	샴푸
chandelier	샹들리에
shadow	섀도
summer	서머
survival	서바이벌
server	서버
subway	서브웨이
service	서비스
service day	서비스 데이
circus	서커스
circle	서클
surfing	서핑
sun	선
sunglass	선글라스
seminar	세미나
second	세컨드
set	세트
ceremony	세레모니
semaphore	세마포
save	세이브
safe	세이프
shaving	세이빙
sale	세일
shake hand	세이크 핸드
salesman	세일즈맨
sexy	섹시
sensor	센서
sensation	센세이션
sense	센스
Century	센추리
center	센터
central	센트럴
celery	셀러리
self	셀프
self service	셀프서비스
self tontrol	셀프콘트롤
shirt	셔츠
shutter	셔터
shuttle bus	셔틀버스
sonata	소나타
soda	소다
sauce	소스
sausage	소시지
socket	소케트
sofa	소파
soprano	소프라노
soft	소프트
soft drink	소프트 드링크
softwarer	소프트웨어
sophia	소피아
solar house	솔라하우스
solo	솔로
Solomon	솔로몬
song	송
show	쇼
show man ship	쇼맨쉽
showwindow	쇼원도
shock	쇼크
shocking	쇼킹
shopping guide	쇼핑가이드
shopping center	쇼핑센터
shopping cart	쇼핑카드
shawl	숄
shopping	쇼핑
shop	숍
soup	수프
suit	수트
shuba	슈바
shoes	슈즈
Shou cream	슈크림
shooting	슈팅
super	슈퍼
supermarket	슈퍼마켓
superman	슈퍼맨
superspecial	슈퍼스페설
snack	스낵
slot machine	스롯머신
smile	스마일
smog	스모그
smoking	스모킹
smoth	스무스
swimming	스위밍
sweet	스위트
sweet home	스위트홈
swing	스윙
scout	스카웃
sky	스카이
sky diving	스카다이빙
sky blue	스카이 블루
scarf	스카프
scanner	스캐너
scandal	스캔들
skirt	스커트
skunk	스컹크
scale	스케일
scaling	스케일링
schedule	스케줄
skech	스케치
score	스코어
scuba	스쿠버
school	스쿨
school bus	스쿨버스
squash	스쿼시
scrap	스크랩
scroll	스크롤
screen	스크린
screen star	스크린스타
screen quota	스크린 쿼터
ski	스키
skin	스킨
skin lotion	스킨로션
skin care	스킨케어
star	스타
stadium	스타디움
style	스타일
stocking	스타킹
start	스타트
stacker	스태커
staff	스태프
standard	스탠다드
stand	스탠드
stand up	스탠드 업
stand bar	스탠드바
standing	스탠딩
stamp	스탬프
study	스터디
stage	스테이지
stage manager	스테이지 매니저
steak	스테이크
standard test	스탠다드 테스트
stamp hammer	스탬프 해머
stub	스텁
station	스테이션
stain	스테인
stainless	스테인레스
step	스텝
story	스토리
store	스토어
stock option	스톡옵션
stop	스톱
studio	스튜디오
stewardess	스튜어디스
stress	스트레스
straw	스트로
straw potato	스트로 포테이토
sticker	스티커
stick	스틱
steel	스틸
steam	스팀
steam engine	스팀엔진
spaghetti	스파게티
spy	스파이
special	스페셜
specialist	스페셜리스트
special sales	스페셜세일즈
sports	스포츠
sportsman	스포츠맨
sports center	스포츠센터
spuit	스포이트
spotlight	스포트라이트
sponser	스폰서
sponge	스폰지
spray	스프레이
spoon	스푼
spring	스프링
speed	스피드
speech	스피치
speaker	스피커
sphinx	스핑크스
slab	슬라브
slider	슬라이드
sliding	슬라이딩
slump	슬럼프
slipper	슬리퍼
slow	슬로우
slogan	슬로건
sea	시
cigar	시가
synagogue	시나고그
scenario	시나리오
synergy	시너지
cinema	시네마
syrup	시럽
serial	시리얼
series	시리즈
simulation	시물레이션
simulator	시뮬레이터
seesaw	시소
system	시스템
season	시즌
secret	시크릿
city	시티
sitcom	시트콤
syndrome	신드롬
Siloam	실로암
xylophone	실로폰
silicone	실리콘
silicon chip	실리콘칩
silicon vally	실리콘밸리
cylinder	실린더
silver	실버
silk	실크
symbol	심벌
symposium	심포지움
simple	심플
single	싱글
singer	싱어
sink	싱크
think tank	싱크탱크
agape	아가페
announcer	아나운서
analog	아날로그
Adam	아담
Arabia	아라비아
Arabian Night	아라비안나이트
aria	아리아
Amateur	아마추어
Americana	아메리카나
Americanism	아메리카즘
amen	아멘
amore	아모레
Aspirin	아스피린
acetone	아세톤
ASEM	아셈
asparagus	아스파라거스
asphalt	아스팔트
out	아웃
hour	아워
eye	아이
idea	아이디어
irony	아이러니
ironical	아이러니컬
iris	아이리스
ivory	아이보리
eye shadow	아이섀도
ice	아이스
ice rink	아이스링크
ice bag	아이스백
ice cream	아이스크림
ice water	아이스 워터
iron	아이언
IMF	아이엠에프
IOC	아이오씨
IQ	아이큐
item	아이템
island	아일랜드
icon	아이콘
academy	아카데미
a capella	아 카펠라
acapella	아카펠라
academy	아카데미
aque	아쿠아
Achilles	아킬레스
art	아트
art director	아트디렉터
artist	아티스트
apartment house	아파트
Apollo	아폴로
accent	악센트
antenna	안테나
aunt	안트
Allah	알라
alarm	알람
alarm bell	알람벨
Allergen	알레르겐
allergie	알레르기
alibi	알리바이
alto	알토
angora	앙고라
ensemble	앙상블
encore	앙콜
animal	애니멜
animation	애니메이션
ad-blloon	애드벌룬
atom	애톰
after service	애프터 서비스
accessory	액세사리
access	액세스
action	액션
action star	액션스타
active	액티브
album	앨범
ambulance	앰블런스
amp	앰프
ampoule	앰플
angle	앵글
anchor	앵커
ja	야
Janus	야누스
yard	야드
YAHOO	야후
Yankee style	양키 스타일
adaptor	어댑터
adventure	어드벤처
arrive	어라이브
earth	어스
appeal	어필
under	언더
up	업
upgrade	업그레이드
ego	에고
egg milk	에그밀크
egg pudding	에그 푸딩
enamel	에나멜
energy	에너지
Energie	에네르기
education	에듀케이션
Eden	에덴
editor	에디터
error	에러
emilsion	에멀전
emerald	에메랄드
essence	에센스
essay	에세이
escalator	에스컬레이터
Eskimo	에스키모
aerobics	에어로빅스
air mail	에어메일
air-bus	에어버스
air valve	에어 밸브
air condition	에어 컨디션
air hole	에어홀
Aestetik	에스테틱
AM	에이엠
agent	에이전트
AIDS	에이즈
AQ	에이큐
FBI	에프비아이
FM	에프엠
episode	에피소드
epilogue	에필로그
extract	엑기스
air conditioner	에어컨
air port	에어포트
estrogen	에스트레젠
X-ray	엑스레이
ecstasy	엑스터시
expert	엑스퍼트
Expo	엑스포
NG	엔지
angel	엔젤
enjoy	엔조이
engineer	엔지니어
engineering	엔지니어링
NGO	엔지오
engine	엔진
elastica	엘라스티카
elevator	엘리베이터
elegant	엘리건트
LNG	엘엔지
LPG	엘피지
embassy	엠버시
MA	엠에이
ML	엠엘
MC	엠씨
MP	엠피
MVP	엠브이피
yerecho	여리고
young	영
yesterday	예스터데이
organic food	오거닉푸드
owner	오너
order	오더
audition	오디션
audio	오디오
audiphone	오디폰
orange	오렌지
orange milk juice	오렌지 밀크 주스
organ	오르간
aurora	오로라
orientation	오리엔테이션
Orient	오리엔트
Orion	오리온
original	오리지날
originality	오리지널리티
omelet-rice	오무라이스
over	오버
over lap	오버랩
over sense	오버센스
over action	오버 액션
overhaul	오버홀
oven	오븐
authority	오소리티
osram	오스람
Oscar prise	오스카상
oasis	오아시스
OAPEC	오아펙
OECD	오이시디
oil	오일
oil level gauge	오일 레벨 게이지
oil engine	오일엔진
oil filter	오일 필더
ozone	오존
orchestra	오케스트라
ok	오케이
auto	오토
automatic	오토매틱
automat	오토멧
automation	오토메이션
autumn	오템
opera	오페라
opera house	오페라 하우스
opener	오프너
open	오픈
open door	오픈 도어
open car	오픈카
opinion leader	오피니언 리더
office	오피스
opening	오피닝
off the record	오프 더 레코드
auction	옥션
on-line	온라인
on-line system	온라인 시스템
on	온
only	온리
ons	온스
on-off switch	온 오프 스위치
on parade	온 퍼레이드
all	올
olive	올리브
orientalism	올리엔탈리즘
olympiad	올림피아드
olympic	올림픽
option	옵션
Vaselin	와셀린
wide	와이드
wide angle	와이드 앵글
wire	와이어
wire rope	와이어 로프
wise	와이즈
wipe	와이프
waffle	와플
wine	와인
wine glass	와인 글라스
wild	와일드
waltz	왈츠
old boy	올드보이
yoga	요가
yoghurt	요구르트
Yacht	요트
woman power	우먼파워
wood pulp	우드펄프
wool	울
Ultra	울트라
war	워
word	워드
word processor	워드 프로세서
warming up	워밍 업
worst	워스트
wash	워시
washstand	워시스탠드
wash-and-wear	워시앤드웨어
watch	워치
work	워크
workshop	워크샵
work wear	워크 웨어
walking	워킹
walkingrace	워킹 레이스
workimg couple	워킹 커플
water	워터
water gauge	워터게이지
water color	워터 칼라
waterproof	워터프루프
vodka	워드카
wonderful	원더풀
one-room system	원룸 시스템
one-man show	원맨쇼
one-man control	원맨 콘트롤
want	원트
one-piece	원피스
world	월드
world game	월드게임
World Cup Soccer	월드컵
wolf	울프
warm color	웜 칼라
wedding	웨딩
wedding-dress	웨딩 드레스
wedding-ring	웨딩링
wedding march	웨딩 마치
wedding veil	웨딩베일
west	웨스트
wear	웨어
waist	웨어스트
wage	웨이지
weight	웨어트
wave	웨이브
waitress	웨이트리스
welcome	웰컴
welter	웰터
web	웹
whisky	위스키
win	윈
window	윈도
window shopping	윈도쇼핑
windows	윈도즈
will	윌
wink	윙크
universe	유니버스
UNICEF	유니세프
uniform	유니폼
Europe	유럽
unit house	유닛 하우스
UNESCO	유네스코
Euro-dollars	유러달러
Eurotunnel	유러터널
Euro	유로
humor	유머
Ubiquitous	유비쿼터스
UN	유엔
Utopia	유토피아
Utopian	유토피안
ignorance	이그너런스
igloo	이글루
Ideologie	이데올로기
emulsion	이멀션
image	이미지
image maker	이미지 메이커
event	이벤트
evening	이브닝
issue	이슈
escape	이스케이프
East	이스트
yeast	이스트
Islam	이슬람
ear	이어
earring	이어링
earphone	이어폰
ion	이온
ion gauge	이온 게이지
effect	이펙트
epoch-making	이폭 메이킹
excite	익사이트
exciting	익사이팅
expensive	익스펜시브
express	익스프레스
industrial designer	인더스트리얼 디자이너
Indian	인디언
index	인덱스
indoor	인도어
investment	인베스트먼트
insider	인사이더
insulin	인슐린
instant	인스턴트
international	인터내셔널
Internet	인터넷
interview	인터뷰
interchange	인터체인지
interphone	인터폰
intern	인턴
interior	인테리어
intensive	인텐시브
introduction	인트로덕션
information	인포메이션
infra	인프라
inflation	인플레이션
illustrator	일러스트레이터
Immanuel	임마뉴엘
Iympha	임파
impact	임팩트
impossible	임파서블
impression	임프레션
impedance coil	임피던스 코일
Inca	잉카
ink eraser	잉크 이레이서
english	잉글리시
www	웹
air	에어
jockey	자키
job	잡
genre	장르
jazz	재즈
jack	재크
jackknife	재크나이프
jam	잼
jamboree	잼버리
journalist	저널리스트
journalism	저널리즘
journey	저니
just	저스트
judge	저지
jumbo	점보
jump	점프
jump shot	점프샷
jump heading	점프헤딩
jungle	정글
junction	정크선
generalist	제너럴리스트
gesture	제스처
jester	제스터
Zeus	제우스
zero	제로
xerox	제록스
gentry	젠트리
gentleman	젠틀맨
gelatin	젤라틴
jelly	젤리
jogging	조깅
jarro	조로
joint box	조인트박스
joke	조크
junior	주니어
juicer	주서
juice	주스
junior style	주니어 스타일
zoom lens	줌 렌즈
jew	쥬
juke box	쥬크 박스
jupon	즈봉
zigzag	지그재그
GIRO	지로
GNS	지엔에스
GDP	피
zipper	지퍼
Gypsy	집시
Jingle Bell	징글벨
jinx	징크스
chan-ho	짬뽕
gel	젤
charming	차밍
China	차이나
Chinese	차이니즈
China town	차이나 타운
child	차일드
charge	차지
chart	차트
chance	찬스
chance maker	찬스메이커
channel	채널
champion	챔피언
champion series	챔피언 시리즈
champion cup	챔피언컵
church	처치
cherry	체리
chess	체스
chain	체인
chain reaction	체인 리액션
chain store	체인 스토어
check	체크
check valve	체크 밸브
change	체인지
cello	첼로
choise	초이스
choke valve	초크벨브
chopper	초퍼
cheese	치즈
chicken	치킨
chicken gratin	치킨 그라땅
chicken chop	치킨 찹
cheetah	치타
cheap	치프
chief mate	치프 메이트
chill	칠
chimpanzee	침팬지
chip	칩
chipped potato	칩포테이토
chatting	채팅
car	카
canaria	카나라아
qanat	카나트
carnation	카네이션
carnival	카니발
card	카드
cardigan	카디건
collar	카라
Charisma	카리스마
chameleon	카멜레온
cowboy	카우보이
cassette	카세트
cassettetape	카세트테이프
coun celing	카운셀링
counter	카운터
count	카운트
casino	카지노
catalog	카탈로그
category	카테고리
Catholic	카톨릭
kart	카트
capacity	카페시티
cafe	카페
caffeine	카페인
carpet	카펫
copy	카피
cocktail	칵테일
canto	칸토
coller	칼라
color film	칼라필름
column	칼럼
columnist	칼럼니스트
Kalorie	칼로리
calorimeter	칼로리미터
college	칼리지
kamfer	캄프르
Kapsel	캅셀
Kangaroo	캉가루
canal	캐널
caddy	캐디
caramel	캐러멜
carol	캐럴
carat	캐럿
character	캐릭터
cabin	캐빈
cash	캐시
cash book	캐시북
casual	캐주얼
casual wear	캐주얼 웨어
catch	캐치
catch up	캐치 업
capital	캐피탈
capitalism	캐피탈리즘
camdy	캔디
can	캔
canvas	캔버스
calendar	캘린더
Camcorder	캠코더
campus	캠퍼스
campaign	캠페인
camp	캠프
camping	캠핑
cap	캡
capsule	캡슐
captain	캡틴
cabaret	카바레
current news	커런트 뉴스
current topics	커런트 토픽스
career woman	커리어 우먼
commercial	커머셜
communication	커뮤니케이션
community	커뮤니티
cover	커버
cover story	커버스토리
curve	커브
cursor	커서
cutter	커터
curtain	커텐
curtain raiser	커튼 레이저
curtain call	커튼콜
couple	커플
coffee break	커피브레이크
coffee-set	커피세트
coffee eggnog	커피에그녹
condition	컨디션
conveyor	컨베이어
consultant	컨설턴트
consultation	컨설테이션
consortium	컨소시엄
container	컨테이너
control	컨트롤
controller	컨트롤러
country	컨트리
collection	컬렉션
culture	컬처
culture center	컬처 센터
cultivator	컬티베이터
COMDEX	컴덱스
combine	컴바인
come back	컴백
compiler	컴파일러
compact	컴펙트
computer	컴퓨터
computer virus	컴퓨터바이러스
computopia	컴퓨토피아
come	컴
company	컴퍼니
Compinion	컴피니온
cup	컵
cut	컷
careless	케얼레스
cable	케이블
cable reel	케이블 릴
cable way	케이블 웨이
composite cable	케티블
cable car	케이블 카
cable television	케이블 텔레비젼
case	케이스
casing	케이싱
cage	케이지
ketchup	케찹
corner	코너
Kodak	코닥
cord	코드
coordinator	코디네이터
chorus	코러스
cork	코르크
common-sense	코먼센스
comedy	코메디
communism	코뮤니즘
commission	코미션
comic	코믹
comics	코믹스
comic opera	코믹 오페라
cobra	코브라
caution	코션
course	코스
course line	코스라인
cosmetic	코스메틱
cost	코스트
cost inflation	코스트 인플레이션
core	코어
coin	코인
coil	코일
call-sign	코올사인
coach	코치
Coca Cola	코카콜라
coconut	코코넛
cocoa	코코아
cotter	코터
coat	코트
court manner	코트매너
court house	코트하우스
coating	코팅
cough sirup	코프시럽
cock	콕
corn	콘
condom	콘돔
concert	콘서트
concert master	콘서트 마스터
concert hall	콘서트 홀
concent	콘센트
cornstarch	콘스타치
concrete	콘크리트
concrete-mixer	콘크리트믹서
contct	콘택트
contact lens	콘택트 렌즈
contest	콘테스트
contents	콘텐츠
contrast	콘트라스트
contralto	콘트랄토
conti	콘티
call	콜
cold beef	콜드비프
cold war	콜드워
cold color	콜드컬러
cholera	콜레라
cholesterol	콜레스테롤
colloid	콜로이드
call money	콜 머니
call signal	콜시그날
coal tar	콜타르
kompas	콤파스
compress	콤프레스
complex	콤플렉스
conte	콩트
quiet zone	콰이어트 존
cushion	쿠션
cooky	쿠키
cooking	쿠킹
coup detat	쿠테타
coupon	쿠폰
cooling system	쿨링시스템
quiz	퀴즈
quick	퀵
queen	퀸
cue light	큐 라이트
cupid	큐피드
crab	크랩
crank shaft	크랭크 샤프트
crusher	크러셔
crutch	크러치
credit card	크레딧카드
crayon	크레용
crown	크라운
crazy	크레이지
crane	크레인
chromatic	크로매틱
cross	크로스
cruise	크루즈
Christmas Eve	크리스마스 이브
Christmas tree	크리스마스 트리
Christian	크리스찬
crystal	크리스탈
creator	크리에이터
cream	크림
cream cheese	크림치즈
class	클라스
climax	클라이맥스
climbing	클라이밍
classic	클래식
clamp	클램프
clutch	클러치
club house	클럽 하우스
